disease,symptoms,precautions,specialist,urgency
Disseminated Intravascular Coagulation,"bleeding (multisite), thrombosis, organ failure, hypotension, fever","Treat underlying cause (sepsis, trauma), replace platelets/coagulation factors, consider heparin",Intensivist,High
Diverticulitis,"left lower quadrant pain, fever, nausea, constipation or diarrhea, bloating","Low-fiber diet then high-fiber, antibiotics, rest, fluids",Gastroenterologist,Medium
Down Syndrome (Trisomy 21),"intellectual disability, flat facial profile, upslanting palpebral fissures, single palmar crease, heart defects","Early intervention programs, treat congenital heart disease, monitor thyroid/leukemia risk, genetic counseling",Geneticist,Medium
Drowning (Nonfatal),"respiratory distress, cough, foamy sputum, hypothermia, altered mental status","Airway management, oxygen, rewarming, treat pulmonary edema, monitor for secondary drowning",Emergency Physician,High
Drug Allergy,"rash, hives, fever, eosinophilia, anaphylaxis, Stevens-Johnson syndrome","Stop drug, antihistamines, desensitization if necessary, avoid cross-reactive drugs",Allergist,High
Duchenne Muscular Dystrophy,"proximal muscle weakness (onset <5 years), Gower's sign, calf pseudohypertrophy, cardiomyopathy, elevated CK","Corticosteroids (prednisone), physical therapy, cardiac/respiratory monitoring, gene therapy (emerging)",Neurologist,High
Dumping Syndrome,"nausea, vomiting, abdominal cramps, diarrhea, dizziness (after meals), rapid heart rate","Eat small frequent meals, low-carb diet, avoid liquids with meals, octreotide, surgery if severe",Gastroenterologist,Medium
Dupuytren's Contracture,"thickening of palmar fascia, nodules on palm, finger flexion contracture (ring/pinky), painless, difficulty placing hand flat","Needle aponeurotomy, collagenase injection, surgical fasciectomy, physical therapy, observation if mild",Orthopedist,Medium
Dysautonomia (Pure Autonomic Failure),"orthostatic hypotension (dizziness upon standing), erectile dysfunction, urinary retention, anhidrosis, constipation","Fludrocortisone, midodrine, compression stockings, increase salt/fluid, avoid rapid position changes",Neurologist,Medium
Dysentery (Shigellosis),"bloody diarrhea, fever, tenesmus, abdominal cramps, seizure (children)","Fluids, antibiotics (ciprofloxacin, azithromycin), hygiene, avoid antidiarrheals",General Practitioner,High
E. coli Infection,"bloody diarrhea, severe cramps, vomiting, little fever, possible HUS","Hydration, avoid antidiarrheals, monitor kidney function, supportive",Nephrologist,High
E. coli Infection (STEC),"bloody diarrhea, severe cramps, vomiting, little fever, possible HUS","Hydration, avoid antidiarrheals, monitor kidney function, supportive",Nephrologist,High
Eastern Equine Encephalitis,"sudden high fever, severe headache, seizures, coma (high mortality)","Intensive supportive care, no antiviral, prevention via mosquito control and vaccination (horses)",Infectious Disease Specialist,High
Ebola,"hemorrhagic fever, severe weakness, myalgia, vomiting, diarrhea, bleeding","Supportive care (fluids, electrolytes), investigational treatments (monoclonal antibodies), strict isolation",Infectious Disease Specialist,High
Echinococcosis,"liver cysts (hydatid), pain, jaundice, anaphylaxis if rupture, lung cysts","Surgical removal (PAIR procedure), albendazole, avoid contact with dogs/sheep",Gastroenterologist,High
Echinococcosis (Hydatid Disease),"liver cysts (hydatid), pain, jaundice, anaphylaxis if rupture, lung cysts","Surgical removal (PAIR procedure), albendazole, avoid contact with dogs/sheep",Gastroenterologist,High
Eczema,"dry itchy skin, redness, crusting, weeping lesions, sleep disturbance","Moisturize, avoid triggers, topical steroids, antihistamines",Dermatologist,Low
Eczema (Atopic Dermatitis),"dry itchy skin, redness, crusting, weeping lesions, sleep disturbance","Moisturize, avoid triggers, topical steroids, antihistamines",Dermatologist,Low
Ehlers-Danlos Syndrome,"joint hypermobility, skin hyperextensibility, easy bruising, chronic pain, tissue fragility","Physical therapy, pain management, joint protection, avoid contact sports",Rheumatologist,Medium
Eisenmenger Syndrome,"cyanosis, shortness of breath, clubbing, fatigue, hemoptysis","Oxygen therapy, pulmonary vasodilators (controversial), phlebotomy for polycythemia, heart-lung transplant",Cardiologist,High
Electrolyte Imbalance (Hyponatremia),"nausea, headache, confusion, seizures, coma","Fluid restriction, hypertonic saline (if severe), treat underlying cause (SIADH, heart failure), monitor sodium",Nephrologist,High
Emphysema,"shortness of breath (worse with exertion), chronic cough, barrel chest, reduced breath sounds, weight loss","Smoking cessation, bronchodilators, pulmonary rehab, oxygen therapy, lung volume reduction surgery",Pulmonologist,High
Empyema,"fever, cough, chest pain, shortness of breath, purulent pleural fluid","Antibiotics, chest tube drainage, intrapleural fibrinolytics, decortication surgery",Pulmonologist,High
Encephalitis,"fever, headache, confusion, seizures, sensitivity to light","Hospitalization, antivirals, supportive care, seizure control",Neurologist,High
Encopresis,"involuntary fecal soiling (often after constipation), constipation, abdominal pain, social embarrassment, stool retention","Bowel disimpaction, laxatives, dietary fiber, scheduled toilet times, behavioral therapy",Pediatrician,Low
Endocarditis (Infective),"fever, heart murmur, petechiae (conjunctiva/skin), Janeway lesions, Osler nodes","IV antibiotics (empiric then tailored), surgery for complications (abscess, heart failure), dental prophylaxis",Cardiologist,High
Endometriosis,"pelvic pain, painful periods, pain with intercourse, infertility, fatigue","NSAIDs, hormonal therapy, laparoscopy, pain management",Gynecologist,Medium
Enterobiasis (Pinworm),"perianal itching, insomnia, irritability, visible worms in stool, secondary bacterial infection","Albendazole or mebendazole, treat household members, wash bedding, hand hygiene",General Practitioner,Low
Enterovirus Infection,"fever, rash, oral ulcers (herpangina), hand-foot-mouth, aseptic meningitis","Supportive care, isolation, hydration, no specific antiviral",General Practitioner,Medium
Eosinophilic Esophagitis,"dysphagia, food impaction, heartburn, chest pain, nausea","Dietary elimination, topical steroids, dilation if stricture, PPI trial",Gastroenterologist,Medium
Eosinophilic Granulomatosis with Polyangiitis (Churg-Strauss),"asthma, eosinophilia, mononeuritis multiplex, rash, nasal polyps","Corticosteroids, mepolizumab, cyclophosphamide for severe, avoid triggers",Rheumatologist,High
Epidermolysis Bullosa,"blistering skin (minor trauma), nail dystrophy, milia, oral blistering, scarring","Wound care, protective dressings, avoid friction, nutritional support",Dermatologist,High
Epididymitis,"testicular pain (gradual), swelling, redness, dysuria, fever","Antibiotics (doxycycline or ceftriaxone), rest, scrotal elevation, treat sexual partners",Urologist,Medium
Epiglottitis,"severe sore throat, fever, drooling, difficulty breathing, muffled voice","Airway management (intubation), IV antibiotics (ceftriaxone), humidified oxygen, Hib vaccination prevention",Emergency Physician,High
Epilepsy,"recurrent seizures, confusion, staring spells, muscle jerks, loss of consciousness","Antiseizure meds, avoid triggers, safety precautions, medical ID",Neurologist,Medium
Episcleritis,"redness of eye (sectoral or diffuse), mild pain, tearing, photophobia, no discharge","Artificial tears, NSAIDs, treat underlying inflammatory disease, avoid steroids if not severe",Ophthalmologist,Low
Epstein-Barr Virus (Infectious Mononucleosis),"severe fatigue, sore throat, fever, swollen lymph nodes, splenomegaly","Rest, hydration, avoid contact sports, acetaminophen, time",General Practitioner,Low
Erysipelas,"raised, well-defined red patch on face/legs, fever, chills, pain, blistering","Oral or IV penicillin, elevation of limb, treat portal of entry, recurrence prevention",Dermatologist,Medium
Erythema Multiforme,"target lesions (red rings with central clearing), itching, fever, oral ulcers, blisters","Treat underlying cause (infection, drug), topical steroids, antihistamines, severe cases hospitalization",Dermatologist,Medium
Erythema Nodosum,"tender red nodules (shins), fever, joint pain, fatigue, bruising","Treat underlying cause (strep, sarcoidosis, IBD), NSAIDs, leg elevation, potassium iodide",General Practitioner,Medium
Essential Thrombocythemia,"headache, dizziness, bleeding or thrombosis, erythromelalgia, splenomegaly","Low-dose aspirin, hydroxyurea or anagrelide, control cardiovascular risk, avoid trauma",Hematologist,Medium
Fabry Disease,"episodic burning pain in hands/feet, angiokeratomas, hypohidrosis, corneal whorls, progressive kidney disease","Enzyme replacement therapy (agalsidase), pain management (gabapentin), kidney disease management, genetic counseling",Nephrologist,High
Familial Adenomatous Polyposis,"hundreds of colorectal polyps (asymptomatic then bleeding), abdominal pain, diarrhea, early colorectal cancer","Colectomy (prophylactic), endoscopic surveillance of pouch, genetic testing, screen family",Gastroenterologist,High
Fanconi Anemia,"pancytopenia, congenital anomalies (radial defects, microcephaly), skin hyperpigmentation, short stature, cancer risk","Androgens, growth factors, stem cell transplant, cancer surveillance, avoid radiation",Hematologist,High
Fascioliasis,"fever, right upper quadrant pain, hepatomegaly, eosinophilia, biliary obstruction","Triclabendazole, avoid watercress, treat comorbidities, monitor liver function",Infectious Disease Specialist,Medium
Fasciolopsiasis,"abdominal pain, diarrhea, ascites (if heavy infection), malnutrition, intestinal obstruction","Praziquantel, proper sanitation, avoid raw aquatic plants, community treatment",General Practitioner,Medium
Fatty Liver Disease,"asymptomatic, fatigue, right upper quadrant discomfort, enlarged liver","Weight loss, exercise, avoid alcohol, control diabetes",Hepatologist,Medium
Fatty Liver Disease (Nonalcoholic),"asymptomatic, fatigue, right upper quadrant discomfort, enlarged liver","Weight loss, exercise, avoid alcohol, control diabetes",Hepatologist,Medium
Febrile Neutropenia,"fever (absolute neutrophil count <500), weakness, chills, mouth sores, diarrhea","Empiric broad-spectrum IV antibiotics, colony-stimulating factors, hospitalization, identify source",Hematologist,High
Felty Syndrome,"rheumatoid arthritis, splenomegaly, neutropenia, recurrent infections, leg ulcers","Methotrexate, rituximab, G-CSF, splenectomy (if refractory), treat rheumatoid arthritis",Rheumatologist,High
Fibrodysplasia Ossificans Progressiva,"congenital malformation of great toes, progressive heterotopic ossification (connective tissue to bone), painful swelling, restricted movement","Avoid trauma/im injections, physical therapy (gentle), treat flare-ups with corticosteroids, no surgery",Geneticist,High
Fibromyalgia,"widespread pain, fatigue, sleep disturbance, cognitive fog, headaches","Exercise, CBT, medications (pregabalin, duloxetine), stress management",Rheumatologist,Low
Fifth Disease,"slapped cheek rash, lacy rash on trunk, mild fever, joint pain, headache","Symptomatic care, avoid pregnant women, antihistamines, rest",General Practitioner,Low
Fifth Disease (Erythema Infectiosum),"slapped cheek rash, lacy rash on trunk, mild fever, joint pain, headache","Symptomatic care, avoid pregnant women, antihistamines, rest",General Practitioner,Low
Filariasis,"lymphedema (elephantiasis), hydrocele, fever, eosinophilia, episodic lymphangitis","Diethylcarbamazine (DEC), doxycycline (anti-Wolbachia), surgery for hydrocele, mosquito nets",Infectious Disease Specialist,Medium
Filariasis (Lymphatic),"lymphedema (elephantiasis), hydrocele, fever, eosinophilia, episodic lymphangitis","Diethylcarbamazine (DEC), doxycycline (anti-Wolbachia), surgery for hydrocele, mosquito nets",Infectious Disease Specialist,Medium
Food Allergy,"urticaria, vomiting, diarrhea, oral itching, anaphylaxis in severe","Strict avoidance, epinephrine pen, read labels, medical alert bracelet",Allergist,High
Food Poisoning (Salmonella),"diarrhea, fever, abdominal cramps, nausea, vomiting","Hydration, rest, avoid antibiotics (usually), report outbreaks",General Practitioner,Medium
Food Poisoning (Staphylococcal),"sudden nausea, vomiting, abdominal cramps, diarrhea, headache (onset 1-6 hours after food)","Hydration, rest, avoid antidiarrheals, proper food handling (refrigeration)",General Practitioner,Low
Frontotemporal Dementia,"personality changes, apathy, disinhibition, language difficulties, compulsive behaviors","Symptomatic management, speech therapy, caregiver support, safety measures",Neurologist,High
Frostbite,"numbness, white/waxy skin, blisters after rewarming, stiffness, pain","Rapid rewarming (40°C water), analgesia, avoid rubbing, tetanus prophylaxis, possible amputation",Emergency Physician,High
Frozen Shoulder (Adhesive Capsulitis),"gradual shoulder stiffness, pain (especially at night), decreased range of motion, difficulty with overhead activities","Physical therapy, NSAIDs, corticosteroid injection, hydrodilatation, surgery if refractory",Orthopedist,Medium
GERD,"heartburn, regurgitation, chest pain, difficulty swallowing, chronic cough","Elevate head, avoid trigger foods, antacids, weight loss",Gastroenterologist,Medium
GERD (Gastroesophageal Reflux Disease),"heartburn, regurgitation, chest pain, difficulty swallowing, chronic cough","Elevate head, avoid trigger foods, antacids, weight loss",Gastroenterologist,Medium
Gallstones,"right upper quadrant pain, nausea, vomiting, fatty food intolerance, jaundice","Low-fat diet, hydration, surgery if recurrent, pain management",General Surgeon,Medium
Ganglion Cyst,"smooth, round lump near joint/tendon (wrist, finger), varies in size, pain if pressure on nerve, may transilluminate","Observation, aspiration, splinting, surgical excision if symptomatic, avoid trauma",Orthopedist,Low
Gangrene (Dry),"dry, shrunken, black tissue (fingers/toes), clear line of demarcation, no discharge, pain (early), numbness (late)","Revascularization (if possible), amputation, control diabetes, avoid smoking",Vascular Surgeon,High
Gangrene (Wet),"swollen, blistered, foul-smelling tissue, discharge, fever, crepitus (gas gangrene)","Emergency debridement, broad-spectrum IV antibiotics, hyperbaric oxygen, amputation",Emergency Physician,High
Gardner Syndrome,"colorectal polyps, osteomas (jaw/skull), epidermoid cysts, desmoid tumors, dental abnormalities","Colectomy, desmoid treatment (surgery or chemo), regular surveillance, genetic counseling",Gastroenterologist,High
Gastritis,"epigastric burning pain, nausea, bloating, loss of appetite, belching","PPIs, avoid NSAIDs/alcohol, treat H. pylori, dietary changes",Gastroenterologist,Medium
Gastroenteritis,"diarrhea, vomiting, abdominal cramps, low-grade fever, nausea","Hydration, oral rehydration, bland diet, hand hygiene",General Practitioner,Medium
Gaucher's Disease,"hepatosplenomegaly, bone pain, cytopenias, bruising, delayed puberty","Enzyme replacement therapy, substrate reduction, bone marrow transplant if severe",Hematologist,Medium
Generalized Anxiety Disorder,"excessive worry, restlessness, muscle tension, sleep disturbance, irritability","CBT, SSRIs/SNRIs, relaxation techniques, avoid caffeine, regular exercise",Psychiatrist,Medium
Genital Herpes (Herpes Simplex Type 2),"painful vesicles on genitals, itching, dysuria, fever, inguinal lymphadenopathy","Antivirals (acyclovir, valacyclovir), safe sex, avoid triggers, treatment of outbreaks",Infectious Disease Specialist,Medium
German Measles (Rubella),"mild fever, rash (start face), lymphadenopathy, joint pain, conjunctivitis","Isolation, MMR vaccine, avoid pregnant women, supportive",General Practitioner,Low
Giant Cell Arteritis (Temporal Arteritis),"new headache, jaw claudication, vision loss (transient or permanent), scalp tenderness, elevated ESR","High-dose corticosteroids, do not delay treatment, temporal artery biopsy, protect vision",Rheumatologist,High
Giant Cell Tumor of Bone,"pain near joint (knee, wrist), swelling, pathological fracture, limited range of motion","Curettage with adjuvant (phenol, cryotherapy), denosumab, wide excision for recurrence",Orthopedist,Medium
Giardiasis,"foul-smelling diarrhea, flatulence, bloating, nausea, greasy stools","Metronidazole or tinidazole, hydration, avoid contaminated water, hand hygiene",General Practitioner,Medium
Glaucoma,"vision loss (peripheral), eye pain, halos around lights, redness, nausea","Eye drops (prostaglandins), laser trabeculoplasty, regular eye exams, avoid steroids",Ophthalmologist,High
Glaucoma (Open-Angle),"vision loss (peripheral), eye pain, halos around lights, redness, nausea","Eye drops (prostaglandins), laser trabeculoplasty, regular eye exams, avoid steroids",Ophthalmologist,High
Glomerulonephritis,"hematuria (cola-colored urine), proteinuria, edema (face/legs), hypertension, fatigue","Treat underlying cause (strep, vasculitis), steroids/immunosuppressants, ACE inhibitors, dialysis if severe",Nephrologist,High
Glucagonoma,"migratory necrolytic erythema rash (groin, buttocks), diabetes, weight loss, stomatitis, diarrhea","Surgical resection, somatostatin analogs, control blood sugar, treat rash with zinc",Oncologist,High
Gonorrhea,"dysuria, purulent discharge, testicular pain, rectal discomfort, pharyngitis","Antibiotics (ceftriaxone), treat partners, avoid sex, report to health department",Infectious Disease Specialist,High
Gout,"sudden severe joint pain, redness, swelling, warmth, tophi","Low-purine diet, hydration, NSAIDs, avoid alcohol",Rheumatologist,Medium
Granuloma Inguinale,"painless, beefy-red genital ulcers, progressive enlargement, inguinal lymphadenopathy (pseudobuboes), scarring","Doxycycline or azithromycin, treat until ulcers heal, safe sex, hygiene",Infectious Disease Specialist,Medium
Granulomatosis with Polyangiitis (GPA),"chronic sinusitis, nasal crusting, hemoptysis, hematuria, kidney failure","Cyclophosphamide or rituximab, corticosteroids, TMP-SMX for limited disease, monitor ANCA",Rheumatologist,High
Guillain-Barré Syndrome,"ascending weakness, tingling, areflexia, facial weakness, respiratory failure","IVIG or plasmapheresis, respiratory support, physical therapy, monitor autonomic function",Neurologist,High
Guinea Worm Disease,"painful blister on lower limb, worm emerging from ulcer, fever, cellulitis","Extract worm slowly over days, wound care, avoid contaminated water, drink filtered water",Infectious Disease Specialist,Medium
Guinea Worm Disease (Dracunculiasis),"painful blister on lower limb, worm emerging from ulcer, fever, cellulitis","Extract worm slowly over days, wound care, avoid contaminated water, drink filtered water",Infectious Disease Specialist,Medium
HIV/AIDS,"fever, fatigue, lymphadenopathy, night sweats, weight loss","ART, PrEP for prevention, safe sex, monitor CD4/viral load",Infectious Disease Specialist,High
Hairy Cell Leukemia,"fatigue, weakness, recurrent infections, easy bruising, splenomegaly, pancytopenia","Cladribine (2-chlorodeoxyadenosine), pentostatin, rituximab, supportive care, monitor for second cancers",Oncologist,Medium
Hammertoe,"bent toe joint (middle toe), pain with walking, corn on top of toe, redness, difficulty fitting shoes","Change footwear (wide toe box), toe exercises, splinting, surgical correction if painful",Orthopedist,Low
Hand Foot and Mouth Disease,"oral ulcers, rash on hands/feet, fever, sore throat, irritability","Hydration, rest, fever control, good hygiene, avoid daycare",Pediatrician,Low
Hantavirus,"fever, myalgia, headache, then respiratory distress (HPS), hypotension","Supportive care (ECMO if severe), ribavirin (uncertain), avoid rodent exposure, early recognition",Pulmonologist,High
Hantavirus Pulmonary Syndrome,"fever, myalgia, headache, then respiratory distress (HPS), hypotension","Supportive care (ECMO if severe), ribavirin (uncertain), avoid rodent exposure, early recognition",Pulmonologist,High
Hashimoto's Thyroiditis,"fatigue, weight gain, cold intolerance, dry skin, goiter","Levothyroxine, monitor TSH, dietary selenium, avoid excessive iodine",Endocrinologist,Medium
Head Lice (Pediculosis Capitis),"itchy scalp, visible nits (eggs) on hair shafts, adult lice, excoriations, cervical lymphadenopathy","Permethrin cream, wet combing, wash bedding/clothes, avoid sharing hats",General Practitioner,Low
Heart Attack,"chest pressure, arm/jaw pain, shortness of breath, nausea, cold sweat","Call emergency, aspirin, CPR if needed, rest",Cardiologist,High
Heart Attack (Myocardial Infarction),"chest pressure, arm/jaw pain, shortness of breath, nausea, cold sweat","Call emergency, aspirin, CPR if needed, rest",Cardiologist,High
Heart Block (Third-Degree),"syncope (fainting), dizziness, fatigue, bradycardia, chest pain, shortness of breath","Pacemaker insertion, avoid medications that slow HR, treat underlying cause, emergency temporary pacing",Cardiologist,High
Heart Failure,"shortness of breath, leg swelling, fatigue, rapid weight gain, persistent cough","Low-sodium diet, monitor weight, diuretics, limit fluids",Cardiologist,High
Heat Stroke,"high core temperature, confusion, hot dry skin, rapid heart rate, seizures","Rapid cooling (ice bath, mist fans), IV fluids, monitor organ failure, call emergency",Emergency Physician,High
Hemangioma (Infantile),"bright red, raised lesion (strawberry), growth in first year then involution, soft, warm","Observation (most involute), beta-blockers (propranolol) if problematic, laser if ulcerated, surgery rare",Dermatologist,Low
Hematoma (Subdural),"headache, confusion, drowsiness, weakness on one side, seizure (especially elderly after minor fall)","Emergency surgical evacuation (if acute), conservative if chronic/minimal, anticoagulation reversal, monitor ICP",Neurosurgeon,High
Hemochromatosis,"joint pain, fatigue, diabetes, bronze skin, liver disease","Phlebotomy, iron chelation, avoid iron supplements, monitor ferritin",Hematologist,Medium
Hemolytic Anemia,"fatigue, jaundice, dark urine, splenomegaly, pallor","Identify cause (autoimmune, drug, infection), steroids, folic acid, transfusions, avoid triggers",Hematologist,High
Hemolytic Anemia (Autoimmune),"fatigue, jaundice, dark urine, splenomegaly, pallor","Identify cause (autoimmune, drug, infection), steroids, folic acid, transfusions, avoid triggers",Hematologist,High
Hemolytic Uremic Syndrome (HUS),"bloody diarrhea (E. coli O157), acute kidney injury, thrombocytopenia, hemolytic anemia, pallor","Supportive care (IV fluids, blood transfusion), dialysis, eculizumab (atypical HUS), avoid antidiarrheals",Nephrologist,High
Hemophilia,"excessive bleeding, easy bruising, joint hemarthrosis, prolonged bleeding after injury","Factor replacement, avoid aspirin, prompt wound care, genetic counseling",Hematologist,High
Hemophilia A,"spontaneous bleeding (joints/muscles), prolonged PTT, easy bruising, hemarthrosis","Factor VIII replacement, avoid aspirin, prompt treatment of bleeds, prophylaxis",Hematologist,High
Hemophilia B,"similar to hemophilia A but factor IX deficiency, bleeding into joints, hematuria","Factor IX replacement, gene therapy (emerging), avoid intramuscular injections",Hematologist,High
Hemorrhoids,"rectal bleeding, itching, pain, swelling, prolapse","Fiber, hydration, sitz baths, avoid straining, topical creams",General Practitioner,Low
Hendra Virus,"fever, dry cough, dyspnea, encephalitis, high mortality","Supportive care, ribavirin (not proven), avoid sick horses, PPE for veterinarians",Infectious Disease Specialist,High
Hepatic Encephalopathy,"confusion, forgetfulness, sleep-wake reversal, asterixis (flapping tremor), altered level of consciousness","Lactulose, rifaximin, treat precipitating factors (infection, bleeding), low-protein diet",Hepatologist,High
Hepatitis A,"fatigue, nausea, jaundice, dark urine, abdominal pain","Vaccination, rest, hydration, avoid alcohol",Infectious Disease Specialist,Medium
Hepatitis B,"jaundice, dark urine, fatigue, joint pain, nausea","Antivirals, vaccination prevention, avoid alcohol, monitor liver",Hepatologist,High
Hepatitis C,"fatigue, jaundice, dark urine, easy bruising, ascites","Direct-acting antivirals, avoid alcohol, monitor fibrosis, vaccination for A/B",Hepatologist,High
Hepatitis D,"co-infection with Hepatitis B, severe acute hepatitis, jaundice, fatigue, rapidly progressive cirrhosis","Pegylated interferon (only treatment), HBV vaccination prevents HDV, monitor for liver failure",Hepatologist,High
Hepatitis E,"jaundice, nausea, vomiting, abdominal pain, fever (self-limiting, but severe in pregnancy)","Supportive care, avoid raw/undercooked meat, pregnant women may need hospitalization, no vaccine widely available",Infectious Disease Specialist,Medium
Hepatocellular Carcinoma,"right upper quadrant pain, weight loss, jaundice, ascites, palpable liver mass","Surgical resection, liver transplant, ablation, TACE, sorafenib, surveillance of cirrhosis",Oncologist,High
Hereditary Angioedema,"recurrent episodes of swelling (limbs, face, bowel, larynx) without urticaria, abdominal pain, nausea","C1 inhibitor replacement (IV or subcutaneous), icatibant, ecallantide, avoid triggers (trauma, stress)",Allergist,High
Hereditary Hemorrhagic Telangiectasia (Osler-Weber-Rendu),"recurrent nosebleeds, telangiectasias (lips, tongue, fingers), arteriovenous malformations (lungs, liver, brain), GI bleeding, iron deficiency anemia","Iron supplementation, laser ablation of telangiectasias, embolization of AVMs, bevacizumab, screen family",Hematologist,Medium
Hermaphroditism (Disorders of Sex Development),"ambiguous genitalia at birth, hypospadias, cryptorchidism, clitoromegaly, labial fusion","Multidisciplinary team, genetic testing, hormone replacement, surgery after informed consent, psychosocial support",Endocrinologist,Medium
Hernia (Inguinal),"bulge in groin (worse with standing/coughing), pain or heaviness, burning sensation, swelling of scrotum (if male)","Surgical repair (herniorrhaphy), truss if not a surgical candidate, avoid heavy lifting, watch for incarceration",General Surgeon,Medium
Herniated Disc,"radiating leg/arm pain, numbness, weakness, back/neck pain, cauda equina symptoms","Physical therapy, NSAIDs, epidural steroid, surgery if neurological deficits",Neurologist,High
Herpangina,"sudden fever, sore throat, small vesicles on soft palate/tonsils, headache, loss of appetite","Hydration, analgesics, cool liquids, antivirals not needed, hand hygiene",Pediatrician,Low
Herpes Simplex,"painful vesicles, itching, burning, flu-like symptoms, ulcerations","Antivirals (acyclovir), avoid triggers, safe sex, topical analgesics",Dermatologist,Low
Herpes Zoster (Shingles),"unilateral painful rash (dermatome), burning, tingling, headache, fever","Antivirals within 72h, vaccination, avoid contact with pregnant/immunocompromised",Infectious Disease Specialist,Medium
Hidradenitis Suppurativa,"painful nodules/abscesses in intertriginous areas, draining sinuses, scars","Lifestyle changes (weight loss, smoking cessation), antibiotics, biologics (adalimumab), surgery",Dermatologist,High
Hip Dysplasia (Developmental),"asymmetric thigh folds, limited hip abduction, leg length discrepancy, walking with limp (older), positive Ortolani/Barlow in infants","Pavlik harness (infants <6 months), closed/open reduction, spica cast, later osteotomy",Orthopedist,Medium
Hirsutism,"excessive terminal hair growth (male pattern) in women (face, chest, back), irregular periods, acne","Treat underlying PCOS, weight loss, hair removal methods, anti-androgens (spironolactone), oral contraceptives",Gynecologist,Medium
Histoplasmosis,"fever, cough, chest pain, fatigue, weight loss, disseminated in immunocompromised","Antifungals (itraconazole, amphotericin B for severe), avoid bird/bat droppings, supportive care",Infectious Disease Specialist,Medium
Hodgkin's Lymphoma,"painless lymphadenopathy (neck/axillae), fever, night sweats, weight loss, pruritus","Chemotherapy (ABVD), radiation, immunotherapy (brentuximab), stem cell transplant",Oncologist,High
Hookworm Infection,"ground itch (cutaneous larval migration), abdominal pain, iron deficiency anemia, fatigue","Albendazole or mebendazole, iron supplementation, proper sanitation, avoid walking barefoot",General Practitioner,Medium
Hordeolum (Stye),"painful red lump at eyelid margin, swelling, tenderness, crusting, tearing","Warm compresses, antibiotic ointment (if bacterial), avoid squeezing, eyelid hygiene",Ophthalmologist,Low
Human Metapneumovirus,"cough, fever, nasal congestion, dyspnea, similar to RSV","Supportive care, oxygen, hydration, no specific antiviral, isolation",General Practitioner,Medium
Huntington's Disease,"chorea, cognitive decline, psychiatric symptoms, difficulty swallowing, gait impairment","Tetrabenazine for chorea, antidepressants, genetic counseling, physical/occupational therapy",Neurologist,High
Hydatidiform Mole (Molar Pregnancy),"vaginal bleeding (first trimester), enlarged uterus for dates, severe nausea, hyperemesis, elevated hCG, cysts in uterus (grape-like)","Suction curettage, follow hCG until negative, avoid pregnancy for 6-12 months, monitor for malignancy",Gynecologist,High
Hydrocele,"painless scrotal swelling (transilluminates), heaviness, smooth, usually unilateral","Observation (most resolve), surgical hydrocelectomy if large/persistent, avoid trauma",Urologist,Low
Hydrocephalus,"enlarged head (infants), headache, nausea, vomiting, blurred vision, sunsetting sign, gait disturbance (older)","VP shunt insertion, endoscopic third ventriculostomy, treat underlying cause, monitor for infection",Neurosurgeon,High
Hyperaldosteronism (Conn's Syndrome),"hypertension (often resistant), hypokalemia (muscle weakness, cramps), headache, polyuria, polydipsia","Surgery (adrenalectomy if adenoma), spironolactone/eplerenone, low-sodium diet, potassium replacement",Endocrinologist,High
Hypercalcemia,"constipation, bone pain, kidney stones, polyuria, confusion (stones, bones, groans, psychiatric overtones)","IV fluids, calcitonin, bisphosphonates (pamidronate/zoledronic acid), treat underlying cause",Endocrinologist,High
Hyperemesis Gravidarum,"severe nausea and vomiting (pregnancy), weight loss, dehydration, ketonuria, electrolyte imbalance","IV fluids, antiemetics (ondansetron, metoclopramide), thiamine, small frequent meals",Obstetrician,Medium
Hyperglycemia (Diabetic Coma),"high blood sugar, polyuria, polydipsia, weakness, confusion, coma","IV fluids, insulin, electrolyte replacement, treat underlying infection, monitor glucose",Endocrinologist,High
Hyperhidrosis (Primary),"excessive sweating (palms, soles, axillae, face), worsens with heat/stress, social embarrassment, skin maceration","Topical antiperspirants (aluminum chloride), iontophoresis, botulinum toxin, oral anticholinergics, sympathectomy",Dermatologist,Medium
Hyperkalemia,"muscle weakness, fatigue, palpitations, paralysis, ECG changes (peaked T waves)","Calcium gluconate (cardioprotection), insulin+glucose, albuterol, sodium polystyrene sulfonate, dialysis",Nephrologist,High
Hyperparathyroidism (Primary),"kidney stones, bone pain, constipation, fatigue, hypercalcemia","Surgery (parathyroidectomy), hydration, bisphosphonates (if not surgical candidate), monitor calcium",Endocrinologist,High
Hypersensitivity Pneumonitis,"cough, dyspnea, fever, chills, fatigue (hours after antigen exposure)","Avoid antigen (moldy hay, bird droppings), corticosteroids, oxygen if severe, supportive care",Pulmonologist,Medium
Hypertension,"often asymptomatic, headache, dizziness, vision changes, nosebleeds","Reduce salt, exercise, monitor BP, limit alcohol",Cardiologist,Medium
Hypertension (Primary),"often asymptomatic, headache, dizziness, vision changes, nosebleeds","Reduce salt, exercise, monitor BP, limit alcohol",Cardiologist,Medium
Hyperthyroidism,"weight loss, heat intolerance, palpitations, anxiety, tremor","Antithyroid drugs, beta-blockers, radioactive iodine, avoid caffeine",Endocrinologist,Medium
