disease,symptoms,precautions,specialist,urgency
ALS,"muscle weakness (limbs/bulbar), twitching, cramping, dysarthria, dysphagia, respiratory failure","Riluzole, edaravone, noninvasive ventilation, multidisciplinary care, feeding tube",Neurologist,High
Muscular Dystrophy,"proximal weakness, calf pseudohypertrophy, Gower's sign, cardiomyopathy, respiratory insufficiency","Corticosteroids, physical therapy, contracture management, cardiac/respiratory monitoring",Neurologist,High
Cerebral Palsy,"spasticity, motor delay, abnormal gait, contractures, intellectual disability (variable)","Physical/occupational/speech therapy, botulinum toxin, orthopedic surgery, seizure management",Physiatrist,Medium
Spina Bifida,"neural tube defect, lower limb paralysis, bladder/bowel dysfunction, hydrocephalus, latex allergy","Prenatal/postnatal closure, VP shunt, urological management, mobility aids",Neurosurgeon,High
Cystic Fibrosis,"chronic cough, thick mucus, recurrent infections, pancreatic insufficiency, salty sweat","Airway clearance, pancreatic enzymes, CFTR modulators, nutritional support, transplant",Pulmonologist,High
Sickle Cell Trait,"asymptomatic but possible hematuria, inability to concentrate urine, splenic infarction at high altitude","No treatment, genetic counseling, avoid extreme conditions, stay hydrated",Hematologist,Low
Thalassemia,"fatigue, pallor, bone deformities, jaundice, growth delay","Blood transfusions, chelation therapy, folic acid, bone marrow transplant",Hematologist,High
Hemochromatosis,"joint pain, fatigue, diabetes, bronze skin, liver disease","Phlebotomy, iron chelation, avoid iron supplements, monitor ferritin",Hematologist,Medium
Wilson's Disease,"hepatic symptoms, neurological symptoms (tremor, dysarthria), Kayser-Fleischer rings, psychiatric","Copper chelators (penicillamine), zinc acetate, low-copper diet, lifelong treatment",Hepatologist,High
Phenylketonuria,"intellectual disability, microcephary, seizures, light skin/blue eyes, musty odor","Strict low-phenylalanine diet, sapropterin, monitor blood levels, avoid high-protein foods",Geneticist,High
Gaucher's Disease,"hepatosplenomegaly, bone pain, cytopenias, bruising, delayed puberty","Enzyme replacement therapy, substrate reduction, bone marrow transplant if severe",Hematologist,Medium
Marfan Syndrome,"tall stature, long limbs, arachnodactyly, pectus deformity, lens dislocation, aortic root dilation","Beta-blockers, aortic imaging, avoid contact sports, surgery for aortic root",Cardiologist,High
Ehlers-Danlos Syndrome,"joint hypermobility, skin hyperextensibility, easy bruising, chronic pain, tissue fragility","Physical therapy, pain management, joint protection, avoid contact sports",Rheumatologist,Medium
Osteogenesis Imperfecta,"frequent fractures, blue sclerae, hearing loss, short stature, dentinogenesis imperfecta","Bisphosphonates, physical therapy, fracture prevention, rodding surgery",Orthopedist,High
Epidermolysis Bullosa,"blistering skin (minor trauma), nail dystrophy, milia, oral blistering, scarring","Wound care, protective dressings, avoid friction, nutritional support",Dermatologist,High
Ichthyosis,"dry scaly skin, hyperkeratosis, itching, fissures, ectropion (if severe)","Moisturizers, keratolytics (urea/lactic acid), retinoids for severe, avoid harsh soaps",Dermatologist,Low
Vitiligo,"depigmented patches (face/ hands/ genitals), premature graying, Koebner phenomenon","Topical corticosteroids, UVB phototherapy, tacrolimus, camouflage makeup",Dermatologist,Low
Alopecia Areata,"circular hair loss patches, exclamation mark hairs, nail pitting, complete scalp hair loss (alopecia totalis)","Topical/intralesional corticosteroids, minoxidil, contact immunotherapy, wigs",Dermatologist,Medium
Hidradenitis Suppurativa,"painful nodules/abscesses in intertriginous areas, draining sinuses, scars","Lifestyle changes (weight loss, smoking cessation), antibiotics, biologics (adalimumab), surgery",Dermatologist,High
Lichen Planus,"purple polygonal papules, itching, oral white lacy streaks, nail thinning, genital lesions","Topical corticosteroids, oral retinoids, antihistamines, avoid trauma",Dermatologist,Medium
Pemphigus Vulgaris,"flaccid bullae, mucosal erosions (oral, genital), positive Nikolsky sign, crusting","Corticosteroids, rituximab, immunosuppressants, wound care, infection prevention",Dermatologist,High
Dermatomyositis,"heliotrope rash, Gottron's papules, proximal muscle weakness, dysphagia, mechanic's hands","Corticosteroids, methotrexate, IVIG, sun protection, physical therapy",Rheumatologist,High
Polymyositis,"proximal muscle weakness (hips/shoulders), dysphagia, myalgias, fatigue, respiratory involvement","Corticosteroids, immunosuppressants, physical therapy, monitor for lung disease",Rheumatologist,High
Sjögren's Syndrome,"dry eyes, dry mouth, parotid enlargement, joint pain, fatigue","Artificial tears/saliva, pilocarpine, hydroxychloroquine, dental care, manage extraglandular",Rheumatologist,Medium
Antiphospholipid Syndrome,"arterial/venous thrombosis, pregnancy loss, livedo reticularis, thrombocytopenia, stroke","Anticoagulation (warfarin), aspirin, avoid estrogen, monitor aPL antibodies",Hematologist,High
Vasculitis,"purpura, digital ischemia, mononeuritis multiplex, fever, renal involvement","Corticosteroids, cyclophosphamide, rituximab, biopsy, treat underlying cause",Rheumatologist,High
Temporal Arteritis,"new headache, jaw claudication, vision loss (transient or permanent), scalp tenderness, elevated ESR","High-dose corticosteroids, do not delay treatment, temporal artery biopsy, protect vision",Rheumatologist,High
Behçet's Disease,"oral aphthous ulcers, genital ulcers, uveitis, skin lesions (pseudofolliculitis), arthritis","Colchicine, corticosteroids, immunosuppressants (azathioprine, TNF inhibitors), eye care",Rheumatologist,High
Takayasu's Arteritis,"absent pulses, claudication, blood pressure difference in limbs, syncope, fever","Corticosteroids, tocilizumab, revascularization if indicated, monitor for aneurysms",Rheumatologist,High
Polyarteritis Nodosa,"livedo reticularis, mononeuritis multiplex, hypertension, abdominal pain, testicular pain","Corticosteroids, cyclophosphamide, antiviral if HBV-associated, avoid unnecessary biopsies",Rheumatologist,High
Granulomatosis with Polyangiitis (GPA),"chronic sinusitis, nasal crusting, hemoptysis, hematuria, kidney failure","Cyclophosphamide or rituximab, corticosteroids, TMP-SMX for limited disease, monitor ANCA",Rheumatologist,High
Eosinophilic Granulomatosis with Polyangiitis (Churg-Strauss),"asthma, eosinophilia, mononeuritis multiplex, rash, nasal polyps","Corticosteroids, mepolizumab, cyclophosphamide for severe, avoid triggers",Rheumatologist,High
Microscopic Polyangiitis,"glomerulonephritis, pulmonary hemorrhage, palpable purpura, mononeuritis, fever","Corticosteroids, rituximab or cyclophosphamide, plasma exchange if severe, vaccinate",Rheumatologist,High
IgA Vasculitis (Henoch-Schönlein Purpura),"palpable purpura (buttocks/legs), arthritis/arthralgia, abdominal pain, hematuria","Supportive care, hydration, NSAIDs for joint pain, corticosteroids for severe renal/abdominal",Nephrologist,Medium
Acute Lymphoblastic Leukemia,"fever, bone pain, pallor, bruising, lymphadenopathy","Chemotherapy (induction, consolidation), intrathecal chemo, supportive care, stem cell transplant",Oncologist,High
Acute Myeloid Leukemia,"fatigue, pallor, bleeding, recurrent infections, gum hypertrophy","Chemotherapy (cytarabine, anthracycline), supportive care, stem cell transplant, clinical trials",Oncologist,High
Chronic Lymphocytic Leukemia,"lymphadenopathy, fatigue, recurrent infections, anemia, thrombocytopenia","Watchful waiting for early stage, targeted therapy (ibrutinib, venetoclax), chemotherapy, immunotherapy",Oncologist,Medium
Chronic Myeloid Leukemia,"fatigue, weight loss, night sweats, splenomegaly, low-grade fever","Tyrosine kinase inhibitors (imatinib), monitor BCR-ABL, allogeneic transplant if resistant",Oncologist,Medium
Hodgkin's Lymphoma,"painless lymphadenopathy (neck/axillae), fever, night sweats, weight loss, pruritus","Chemotherapy (ABVD), radiation, immunotherapy (brentuximab), stem cell transplant",Oncologist,High
Non-Hodgkin's Lymphoma,"enlarged lymph nodes, fever, night sweats, weight loss, abdominal pain","Chemotherapy (CHOP-like), rituximab, radiation, CAR-T for refractory",Oncologist,High
Multiple Myeloma,"bone pain (spine/ribs), fatigue (anemia), kidney failure, hypercalcemia, recurrent infections","Chemotherapy (VRd), stem cell transplant, bisphosphonates, supportive care",Oncologist,High
Myelodysplastic Syndromes,"anemia, neutropenia, thrombocytopenia, fatigue, recurrent infections","Supportive care (transfusions), lenalidomide, azacitidine, stem cell transplant",Hematologist,High
Aplastic Anemia,"pancytopenia, fatigue, infections, bleeding, pallor","Immunosuppression (ATG, cyclosporine), stem cell transplant, supportive care, avoid marrow toxins",Hematologist,High
Polycythemia Vera,"headache, dizziness, itching (after hot bath), ruddy complexion, splenomegaly","Phlebotomy, low-dose aspirin, hydroxyurea, avoid smoking, hydrate",Hematologist,Medium
Essential Thrombocythemia,"headache, dizziness, bleeding or thrombosis, erythromelalgia, splenomegaly","Low-dose aspirin, hydroxyurea or anagrelide, control cardiovascular risk, avoid trauma",Hematologist,Medium
Myelofibrosis,"fatigue, night sweats, fever, splenomegaly, bone pain","JAK2 inhibitors (ruxolitinib), transfusion support, splenectomy if severe, stem cell transplant",Hematologist,High
Hemolytic Anemia,"fatigue, jaundice, dark urine, splenomegaly, pallor","Identify cause (autoimmune, drug, infection), steroids, folic acid, transfusions, avoid triggers",Hematologist,High
Pernicious Anemia,"fatigue, pallor, paresthesia, gait imbalance (subacute combined degeneration), beefy red tongue","Vitamin B12 injections (IM), lifelong replacement, treat neurological symptoms",Hematologist,Medium
Thalassemia Major,"severe anemia, growth failure, jaundice, skeletal deformities, hepatosplenomegaly","Regular transfusions, chelation therapy, folic acid, bone marrow transplant",Hematologist,High
Hemophilia A,"spontaneous bleeding (joints/muscles), prolonged PTT, easy bruising, hemarthrosis","Factor VIII replacement, avoid aspirin, prompt treatment of bleeds, prophylaxis",Hematologist,High
Hemophilia B,"similar to hemophilia A but factor IX deficiency, bleeding into joints, hematuria","Factor IX replacement, gene therapy (emerging), avoid intramuscular injections",Hematologist,High
von Willebrand Disease,"mucocutaneous bleeding (epistaxis, menorrhagia), easy bruising, prolonged bleeding after surgery","Desmopressin (if type 1), factor concentrates, antifibrinolytics (tranexamic acid), avoid aspirin",Hematologist,Medium
Idiopathic Thrombocytopenic Purpura,"thrombocytopenia, petechiae, purpura, bruising, bleeding gums","Corticosteroids, IVIG, thrombopoietin agonists, rituximab, splenectomy if chronic",Hematologist,High
Thrombotic Thrombocytopenic Purpura,"thrombocytopenia, microangiopathic hemolytic anemia, fever, renal failure, neurological symptoms","Plasma exchange, corticosteroids, rituximab, avoid platelet transfusion (unless life-threatening)",Hematologist,High
Disseminated Intravascular Coagulation,"bleeding (multisite), thrombosis, organ failure, hypotension, fever","Treat underlying cause (sepsis, trauma), replace platelets/coagulation factors, consider heparin",Intensivist,High
Hypercalcemia,"constipation, bone pain, kidney stones, polyuria, confusion (stones, bones, groans, psychiatric overtones)","IV fluids, calcitonin, bisphosphonates (pamidronate/zoledronic acid), treat underlying cause",Endocrinologist,High
Hyponatremia,"nausea, headache, confusion, seizures, coma","Fluid restriction, hypertonic saline (if severe), treat underlying cause (SIADH, heart failure), monitor sodium",Nephrologist,High
Hyperkalemia,"muscle weakness, fatigue, palpitations, paralysis, ECG changes (peaked T waves)","Calcium gluconate (cardioprotection), insulin+glucose, albuterol, sodium polystyrene sulfonate, dialysis",Nephrologist,High
Hypokalemia,"weakness, fatigue, muscle cramps, constipation, ECG changes (U waves, flat T)","Oral/IV potassium, magnesium repletion if needed, reduce diuretics, treat cause",Nephrologist,Medium
Metabolic Acidosis,"rapid breathing (Kussmaul), confusion, fatigue, headache, shock","Correct underlying cause (DKA, renal failure), IV bicarbonate if severe, monitor pH",Intensivist,High
Metabolic Alkalosis,"muscle twitching, hand tingling, nausea, confusion, arrhythmias","Replace volume (saline), correct hypokalemia, acetazolamide, treat vomiting/diuretic overuse",Nephrologist,Medium
Respiratory Acidosis,"drowsiness, headache, confusion, rapid breathing, tremor","Improve ventilation (BiPAP, intubation), treat underlying COPD/pneumonia, bronchodilators, oxygen",Pulmonologist,High
Respiratory Alkalosis,"lightheadedness, perioral tingling, palpitations, chest tightness, tetany","Breathing into a bag, treat hyperventilation cause (anxiety, pain), correct hypoxia",General Practitioner,Low
Dehydration,"thirst, dry mouth, decreased urine output, dizziness, fatigue","Oral rehydration salts, IV fluids if severe, replace electrolytes, treat underlying cause",General Practitioner,Medium
Heat Stroke,"high core temperature, confusion, hot dry skin, rapid heart rate, seizures","Rapid cooling (ice bath, mist fans), IV fluids, monitor organ failure, call emergency",Emergency Physician,High
Hypothermia,"shivering (stop if severe), confusion, slow pulse, slurred speech, loss of consciousness","Passive/external rewarming, warm IV fluids, avoid rough handling, EKG monitoring",Emergency Physician,High
Frostbite,"numbness, white/waxy skin, blisters after rewarming, stiffness, pain","Rapid rewarming (40°C water), analgesia, avoid rubbing, tetanus prophylaxis, possible amputation",Emergency Physician,High
Altitude Sickness,"headache, nausea, fatigue, dizziness, insomnia","Descent to lower altitude, supplemental oxygen, acetazolamide, hydration, avoid alcohol",General Practitioner,Medium
Carbon Monoxide Poisoning,"headache, dizziness, nausea, cherry-red skin (rare), confusion","100% oxygen, hyperbaric oxygen if severe, remove from exposure, monitor neurological function",Emergency Physician,High
Lead Poisoning,"abdominal pain, constipation, fatigue, irritability, wrist drop","Remove source, chelation (EDTA, succimer), dietary calcium/iron, monitor blood lead",Toxicologist,High
Alcohol Poisoning,"confusion, vomiting, slow breathing, blue skin, low body temperature, loss of consciousness","Airway support, IV fluids, thiamine, monitor glucose, treat hypoglycemia",Emergency Physician,High
Opioid Overdose,"respiratory depression, pinpoint pupils, unconsciousness, blue lips, bradycardia","Naloxone (IV/IM/intranasal), rescue breathing, call emergency, monitor for re-sedation",Emergency Physician,High
Benzodiazepine Overdose,"drowsiness, slurred speech, ataxia, coma, respiratory depression","Flumazenil (cautious, may provoke seizures), supportive care, airway protection, activated charcoal",Emergency Physician,High
Cocaine Toxicity,"agitation, chest pain, hypertension, tachycardia, seizure, hyperthermia","Benzodiazepines, cooling, IV fluids, treat arrhythmias, avoid beta-blockers",Emergency Physician,High
Methamphetamine Toxicity,"psychomotor agitation, hypertension, hyperthermia, paranoia, seizure","Benzodiazepines, aggressive cooling, IV fluids, antipsychotics for agitation, monitor rhabdomyolysis",Emergency Physician,High
Serotonin Syndrome,"agitation, clonus, hyperreflexia, tremor, hyperthermia","Discontinue serotonergic drug, benzodiazepines, cyproheptadine, cooling, supportive care",Emergency Physician,High
Neuroleptic Malignant Syndrome,"fever, muscle rigidity, altered mental status, autonomic instability, elevated CK","Stop antipsychotics, dantrolene or bromocriptine, supportive care, cooling",Psychiatrist,High
Malignant Hyperthermia,"rigidity, hyperthermia, tachycardia, hypercapnia, rhabdomyolysis (after anesthesia)","Dantrolene, stop triggering anesthetics, cooling, oxygen, treat acidosis",Anesthesiologist,High
Organophosphate Poisoning,"salivation, lacrimation, urination, diarrhea, muscle fasciculations, miosis","Atropine, pralidoxime, airway support, decontamination, seizure control",Toxicologist,High
Cyanide Poisoning,"sudden headache, confusion, seizures, coma, cherry-red skin, hypotension","Cyanide antidote kit (amyl nitrite, sodium thiosulfate), hydroxocobalamin, oxygen",Emergency Physician,High
Botulism,"descending paralysis, ptosis, dysphagia, dry mouth, respiratory failure","Antitoxin (equine/heptavalent), supportive care (ventilation), wound debridement, monitor for relapse",Infectious Disease Specialist,High
Anthrax,"skin ulcer with black eschar (cutaneous), respiratory symptoms, fever (inhalational), GI symptoms","Ciprofloxacin or doxycycline, anthrax vaccine, antitoxin, quarantine",Infectious Disease Specialist,High
Plague,"painful lymphadenitis (bubo), fever, pneumonia, sepsis (black death)","Streptomycin or gentamicin, isolation, doxycycline prophylaxis for contacts, supportive care",Infectious Disease Specialist,High
Tularemia,"ulceroglandular lesion, fever, lymphadenopathy, pneumonia, conjunctivitis","Streptomycin, gentamicin, doxycycline, avoid handling wild rodents, tick precautions",Infectious Disease Specialist,High
Brucellosis,"undulant fever, night sweats, arthralgia, hepatosplenomegaly, fatigue","Doxycycline + rifampin or streptomycin, avoid unpasteurized dairy, relapse common",Infectious Disease Specialist,Medium
Leptospirosis,"high fever, severe headache, muscle pain, conjunctival suffusion, jaundice (Weil's disease)","Doxycycline or penicillin, supportive care, fluid management, rodent control",Infectious Disease Specialist,High
Q Fever,"high fever, severe headache, atypical pneumonia, hepatitis, chronic endocarditis","Doxycycline, hydroxychloroquine for chronic, avoid contact with animals (sheep/goats)",Infectious Disease Specialist,Medium
Psittacosis,"fever, severe headache, dry cough, myalgia, relative bradycardia","Doxycycline, tetracycline, isolate birds, supportive care",Infectious Disease Specialist,Medium
Hantavirus,"fever, myalgia, headache, then respiratory distress (HPS), hypotension","Supportive care (ECMO if severe), ribavirin (uncertain), avoid rodent exposure, early recognition",Pulmonologist,High
Lassa Fever,"gradual fever, sore throat, retrosternal pain, proteinuria, bleeding (late)","Ribavirin, supportive care, isolation, contact tracing, rodent control",Infectious Disease Specialist,High
Ebola,"hemorrhagic fever, severe weakness, myalgia, vomiting, diarrhea, bleeding","Supportive care (fluids, electrolytes), investigational treatments (monoclonal antibodies), strict isolation",Infectious Disease Specialist,High
Marburg Virus,"similar to Ebola: hemorrhagic fever, shock, multiorgan failure","Same as Ebola, supportive care, no specific antiviral, avoid fruit bats",Infectious Disease Specialist,High
Yellow Fever,"fever, backache, nausea, jaundice, black vomit, hemorrhage","Supportive care, no antiviral, vaccination (very effective), mosquito control",Infectious Disease Specialist,High
Chikungunya,"high fever, severe arthralgia (debilitating), rash, myalgia, headache","Supportive care (NSAIDs, fluids), avoid aspirin, mosquito repellent, chronic arthritis possible",Infectious Disease Specialist,Medium
West Nile Virus,"fever, headache, myalgia, rash, then meningitis/encephalitis in severe","Supportive care, hospitalization for neuroinvasive, no specific treatment, mosquito control",Neurologist,High
Japanese Encephalitis,"acute encephalitis, fever, headache, seizures, movement disorders","Supportive care, no antiviral, vaccination for prevention, mosquito avoidance",Infectious Disease Specialist,High
St. Louis Encephalitis,"fever, headache, confusion, dysarthria, coma","Supportive care, control of intracranial pressure, no specific antiviral, mosquito control",Infectious Disease Specialist,High
Eastern Equine Encephalitis,"sudden high fever, severe headache, seizures, coma (high mortality)","Intensive supportive care, no antiviral, prevention via mosquito control and vaccination (horses)",Infectious Disease Specialist,High
Nipah Virus,"fever, headache, dizziness, encephalitis, respiratory symptoms, case fatality high","Supportive care, ribavirin (uncertain), strict isolation, avoid contact with pigs/bats",Infectious Disease Specialist,High
Hendra Virus,"fever, dry cough, dyspnea, encephalitis, high mortality","Supportive care, ribavirin (not proven), avoid sick horses, PPE for veterinarians",Infectious Disease Specialist,High
MERS-CoV,"fever, cough, shortness of breath, pneumonia, renal failure","Supportive care, isolation, no specific treatment, avoid camels, respiratory hygiene",Pulmonologist,High
SARS,"fever, dry cough, dyspnea, hypoxia, lymphopenia","Supportive care, isolation, ribavirin and steroids (historical), infection control",Pulmonologist,High
Parainfluenza,"croup (barking cough), fever, hoarseness, stridor, rhinitis","Supportive care, humidified oxygen, epinephrine for severe croup, corticosteroids",Pediatrician,Medium
Respiratory Syncytial Virus (RSV),"runny nose, cough, wheezing, fever, apnea in infants","Supportive care, palivizumab for high-risk infants, hydration, oxygen if needed",Pediatrician,High
Human Metapneumovirus,"cough, fever, nasal congestion, dyspnea, similar to RSV","Supportive care, oxygen, hydration, no specific antiviral, isolation",General Practitioner,Medium
Adenovirus Infection,"fever, pharyngitis, conjunctivitis, diarrhea, pneumonia (serotypes)","Supportive care, no specific antiviral, cidofovir for severe immunocompromised, hand hygiene",General Practitioner,Low
Rhinovirus Infection,"common cold: sneezing, runny nose, sore throat, mild cough","Rest, hydration, OTC decongestants, hand hygiene, avoid touching face",General Practitioner,Low
Enterovirus Infection,"fever, rash, oral ulcers (herpangina), hand-foot-mouth, aseptic meningitis","Supportive care, isolation, hydration, no specific antiviral",General Practitioner,Medium
Norovirus Infection,"acute vomiting, watery diarrhea, low-grade fever, abdominal cramps, nausea","Oral rehydration, hand hygiene, isolation, bleach cleaning, avoid food prep",General Practitioner,Medium
Rotavirus Infection,"severe watery diarrhea, vomiting, fever, dehydration, abdominal pain","Oral rehydration, rotavirus vaccine, hospitalization if severe, hand hygiene",Pediatrician,High
Astrovirus Infection,"mild watery diarrhea, nausea, low fever, abdominal pain, headache","Supportive care, hydration, hand hygiene, no specific treatment",General Practitioner,Low
Campylobacteriosis,"bloody diarrhea, fever, abdominal pain, cramps, nausea","Fluids, electrolytes, azithromycin if severe, avoid raw poultry, hand washing",General Practitioner,Medium
Listeriosis,"fever, myalgia, diarrhea (mild), then meningitis/sepsis in pregnant/elderly","IV ampicillin + gentamicin, supportive care, avoid unpasteurized dairy/ready-to-eat meats",Infectious Disease Specialist,High
Yersiniosis,"fever, abdominal pain (right lower quadrant mimicking appendicitis), diarrhea, lymphadenitis","Supportive care, antibiotics (trimethoprim-sulfamethoxazole) if severe, proper food handling",General Practitioner,Medium
Cholera,"profuse watery diarrhea (rice water), vomiting, rapid dehydration, leg cramps","Oral rehydration salts, IV fluids, doxycycline/azithromycin, sanitation, safe water",Infectious Disease Specialist,High
Shigellosis,"bloody diarrhea, fever, tenesmus, abdominal cramps, seizure (children)","Fluids, antibiotics (ciprofloxacin, azithromycin), hygiene, avoid antidiarrheals",General Practitioner,High
Typhoid Fever,"prolonged fever, headache, abdominal pain, rose spots, constipation or diarrhea","Ciprofloxacin or ceftriaxone, hydration, typhoid vaccine, avoid contaminated food/water",Infectious Disease Specialist,High
Paratyphoid Fever,"milder than typhoid, fever, headache, diarrhea, rose spots","Fluoroquinolones, supportive care, food/water hygiene, similar prevention",Infectious Disease Specialist,Medium
Amebiasis,"bloody diarrhea (flask-shaped ulcers), abdominal pain, fever, liver abscess possible","Metronidazole or tinidazole, then luminal agent (paromomycin), sanitation, safe water",Gastroenterologist,Medium
Giardiasis,"foul-smelling diarrhea, flatulence, bloating, nausea, greasy stools","Metronidazole or tinidazole, hydration, avoid contaminated water, hand hygiene",General Practitioner,Medium
Cryptosporidiosis,"watery diarrhea, abdominal cramps, nausea, low-grade fever, dehydration","Supportive care (oral rehydration), nitazoxanide, avoid swimming pools, immunocompromised severe",Infectious Disease Specialist,Medium
Cyclosporiasis,"explosive watery diarrhea, nausea, loss of appetite, weight loss, fatigue","Trimethoprim-sulfamethoxazole, hydration, avoid imported produce, hand hygiene",General Practitioner,Medium
Toxoplasmosis,"lymphadenopathy, fever, malaise, retinochoroiditis (congenital), brain abscess (immunocompromised)","Pyrimethamine + sulfadiazine + leucovorin, avoid cat litter, cook meat well",Infectious Disease Specialist,High
Leishmaniasis,"skin ulcers (cutaneous), fever, hepatosplenomegaly (visceral), pancytopenia, weight loss","Liposomal amphotericin B (visceral), antimonials (cutaneous), avoid sandflies",Infectious Disease Specialist,High
Chagas Disease,"acute: fever, swelling at bite site (Romaña's sign), chronic: megacolon, cardiomyopathy, dysphagia","Benznidazole or nifurtimox (acute/early chronic), treat CHF/arrhythmias, avoid reduviid bugs",Infectious Disease Specialist,High
African Sleeping Sickness,"fever, headache, joint pain (stage 1), then sleep disturbance, neurological symptoms (stage 2)","Pentamidine (stage 1), melarsoprol or eflornithine (stage 2), avoid tsetse flies",Infectious Disease Specialist,High
Schistosomiasis,"swimmer's itch (cercarial dermatitis), fever, hematuria (S. haematobium), hepatosplenomegaly","Praziquantel, avoid freshwater in endemic areas, treat all family members",Infectious Disease Specialist,Medium
Filariasis,"lymphedema (elephantiasis), hydrocele, fever, eosinophilia, episodic lymphangitis","Diethylcarbamazine (DEC), doxycycline (anti-Wolbachia), surgery for hydrocele, mosquito nets",Infectious Disease Specialist,Medium
Onchocerciasis,"skin nodules, severe itching, eye lesions (river blindness), lymphadenopathy","Ivermectin, avoid blackfly bites, community treatment, anti-inflammatory for ocular",Infectious Disease Specialist,High
Loiasis,"calabar swellings (migratory angioedema), subconjunctival worm migration, pruritus, eosinophilia","DEC or albendazole, avoid biting flies, treat cautiously (risk encephalitis if high microfilaria)",Infectious Disease Specialist,Medium
Guinea Worm Disease,"painful blister on lower limb, worm emerging from ulcer, fever, cellulitis","Extract worm slowly over days, wound care, avoid contaminated water, drink filtered water",Infectious Disease Specialist,Medium
Hookworm Infection,"ground itch (cutaneous larval migration), abdominal pain, iron deficiency anemia, fatigue","Albendazole or mebendazole, iron supplementation, proper sanitation, avoid walking barefoot",General Practitioner,Medium
Ascariasis,"abdominal discomfort, malnutrition, cough (larval migration), visible worms in stool, bowel obstruction","Albendazole or mebendazole, hygiene, proper sewage disposal, handwashing",General Practitioner,Medium
Trichuriasis,"abdominal pain, bloody diarrhea (dysentery), rectal prolapse, tenesmus, anemia","Albendazole or mebendazole, iron replacement, sanitation, wash fruits/vegetables",General Practitioner,Medium
Enterobiasis (Pinworm),"perianal itching, insomnia, irritability, visible worms in stool, secondary bacterial infection","Albendazole or mebendazole, treat household members, wash bedding, hand hygiene",General Practitioner,Low
Tapeworm Infection (Taeniasis),"abdominal pain, nausea, passage of proglottids, weight loss, perianal itching","Praziquantel or niclosamide, cook meat thoroughly, sanitation, avoid raw pork/beef",General Practitioner,Medium
Cysticercosis,"neurocysticercosis (seizures, headaches, hydrocephalus), subcutaneous nodules, vision changes","Antiparasitic (albendazole/praziquantel) plus corticosteroids, surgery if needed, sanitation",Neurologist,High
Echinococcosis,"liver cysts (hydatid), pain, jaundice, anaphylaxis if rupture, lung cysts","Surgical removal (PAIR procedure), albendazole, avoid contact with dogs/sheep",Gastroenterologist,High
Paragonimiasis,"cough, hemoptysis, chest pain, fever (mimics TB), subcutaneous nodules","Praziquantel or triclabendazole, avoid raw crustaceans, sputum exam",Infectious Disease Specialist,Medium
Clonorchiasis,"fatigue, abdominal discomfort, diarrhea, later jaundice, cholangiocarcinoma risk","Praziquantel, avoid raw freshwater fish, treat all family members, ultrasound follow-up",Gastroenterologist,Medium
Opisthorchiasis,"similar to clonorchiasis: abdominal pain, hepatomegaly, diarrhea, cholangitis","Praziquantel, avoid raw fish, screen for cholangiocarcinoma, supportive care",Gastroenterologist,Medium
Fascioliasis,"fever, right upper quadrant pain, hepatomegaly, eosinophilia, biliary obstruction","Triclabendazole, avoid watercress, treat comorbidities, monitor liver function",Infectious Disease Specialist,Medium
Fasciolopsiasis,"abdominal pain, diarrhea, ascites (if heavy infection), malnutrition, intestinal obstruction","Praziquantel, proper sanitation, avoid raw aquatic plants, community treatment",General Practitioner,Medium
Diphyllobothriasis,"abdominal discomfort, fatigue, megaloblastic anemia (B12 deficiency), passage of proglottids","Praziquantel, vitamin B12 supplementation, cook fish thoroughly, avoid raw freshwater fish",Hematologist,Medium
